artist_id,artist_name,track_id,track_name,track_duration,track_popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,album_id,album_name,album_release_date
3mIj9lX2MWuHmhNCA7LSCW,The 1975,18UsAG7SfOQ5sxJEdjAMH0,Be My Mistake,256687,67,0.576,0.155,-14.405,0.0341,0.834,0.000137,0.0906,0.0946,109.843,6PWXKiakqhI17mTYM4y6oY,A Brief Inquiry Into Online Relationships,2018-11-30
3mIj9lX2MWuHmhNCA7LSCW,The 1975,14dJexYlvd3t3XAtD1pYW1,Oh Caroline,212568,66,0.646,0.85,-5.466,0.0428,0.363,4.01e-05,0.0994,0.819,96.538,6dVCpQ7oGJD1oYs2fv1t5M,Being Funny In A Foreign Language,2022-10-14
5JZ7CnR6gTvEMKX4g70Amv,Lauv,0EcQcdcbQeVJn9fknj44Be,I Like Me Better,197436,80,0.753,0.505,-7.621,0.255,0.534,2.58e-06,0.104,0.419,91.972,71cQY3dUThCY6vVKaUIXqR,I met you when I was 18. (the playlist),2018-05-31
5JZ7CnR6gTvEMKX4g70Amv,Lauv,0SccFtYdj75y6lL2OW10Cf,Steal The Show,192506,75,0.618,0.462,-13.154,0.0328,0.332,0.000862,0.279,0.419,92.489,7L15PXtti3kXEn7vTXi8ZV,Elemental (Original Motion Picture Soundtrack),2023-06-16
5JZ7CnR6gTvEMKX4g70Amv,Lauv,7D7oIpsm4trbxthAU7JMtB,Potential,177662,72,0.597,0.648,-4.967,0.0418,0.014,0.0,0.064,0.0878,81.982,7k0D9VjRqVMbhg0uNMiq3O,Potential,2024-04-24
5JZ7CnR6gTvEMKX4g70Amv,Lauv,3rmqiQbzPDx7A8p88IRFKg,Love U Like That,211733,72,0.714,0.671,-3.572,0.0321,0.0865,0.0,0.0644,0.238,95.005,4L1fTiCm419aQYUbfRJ3mA,Love U Like That,2023-08-04
5JZ7CnR6gTvEMKX4g70Amv,Lauv,7LpMG3AEaIJgs62HQhAa91,i'm so tired...,162586,72,0.548,0.735,-7.572,0.236,0.173,0.0,0.195,0.498,101.252,3ZuE680xhR1A4bCFGvL8mi,~how i'm feeling~,2020-03-06
5JZ7CnR6gTvEMKX4g70Amv,Lauv,6mXdCcFnPKQznj4CmMRmHC,Mean It,232853,71,0.747,0.45,-8.543,0.0919,0.0407,0.0,0.17,0.329,96.001,3ZuE680xhR1A4bCFGvL8mi,~how i'm feeling~,2020-03-06
5JZ7CnR6gTvEMKX4g70Amv,Lauv,0pSqYDTjY1Xt86usTQslAx,Who,180413,69,0.632,0.337,-8.0,0.033,0.558,0.0,0.104,0.0982,141.701,3ZuE680xhR1A4bCFGvL8mi,~how i'm feeling~,2020-03-06
5JZ7CnR6gTvEMKX4g70Amv,Lauv,2MOoIbJWIYikwIXjBDe26i,Paris in the Rain,204712,69,0.406,0.408,-9.419,0.053,0.771,7.88e-06,0.394,0.525,79.705,71cQY3dUThCY6vVKaUIXqR,I met you when I was 18. (the playlist),2018-05-31
5JZ7CnR6gTvEMKX4g70Amv,LAY,0W6cB9dPUnsL5iKOpxuSAK,Run Back To You,188750,68,0.925,0.594,-5.755,0.0454,0.0341,0.00232,0.107,0.885,117.993,1OEWnZJ9NPQ1U5mpWLPLza,Run Back To You,2024-02-23
5JZ7CnR6gTvEMKX4g70Amv,Lauv,7I5WT7DtpwSAhEeDLpZEfm,All 4 Nothing (I'm So In Love),183014,64,0.72,0.819,-4.588,0.0362,0.0411,0.0,0.0606,0.898,131.99,3edu0vIRVJ6vcK3yagi6oS,All 4 Nothing,2022-08-05
7gOdHgIoIKoe4i9Tta6qdD,Marshmello,4qu63nuBpdn0qHUHuObEj1,Leave Before You Love Me (with Jonas Brothers),154983,81,0.721,0.738,-4.77,0.0403,0.00226,4.41e-06,0.118,0.637,119.976,66JuK41D3LpkbX3HCTGcQk,Leave Before You Love Me,2021-05-21
7gOdHgIoIKoe4i9Tta6qdD,Jonas Brothers,22vgEDb5hykfaTwLuskFGD,Sucker,181026,79,0.842,0.734,-5.065,0.0588,0.0427,0.0,0.106,0.952,137.958,1Uf67JAtkVWfdydzFFqNF2,Happiness Begins,2019-06-07
7gOdHgIoIKoe4i9Tta6qdD,Jonas Brothers,4inPxqHrj9VmjLx5JCDCV4,Waffle House,145440,69,0.719,0.756,-4.385,0.0356,0.0272,0.0,0.191,0.863,126.011,7aq7a226T631f2w1Vs1vXx,The Album,2023-05-12
7gOdHgIoIKoe4i9Tta6qdD,TOMORROW X TOGETHER,0XM1XnOYv8BkFPFVCU8ZjX,Do It Like That,145065,68,0.776,0.92,-3.246,0.0548,0.0103,0.0,0.325,0.842,119.989,63fWdGyeBj8VDjvHSUROx3,The Name Chapter: FREEFALL,2023-10-13
7gOdHgIoIKoe4i9Tta6qdD,Jonas Brothers,0DiDStADDVh3SvAsoJAFMk,Only Human,183000,70,0.795,0.496,-5.883,0.0721,0.107,0.0,0.0645,0.873,94.01,1Uf67JAtkVWfdydzFFqNF2,Happiness Begins,2019-06-07
7gOdHgIoIKoe4i9Tta6qdD,Jonas Brothers,4wNIkl5XGiAACjFBlDWuSd,What A Man Gotta Do,180644,70,0.853,0.696,-7.206,0.0633,0.00852,1e-06,0.0773,0.324,113.026,3SgvmlSsTrMuqICaOTlo0p,What A Man Gotta Do,2020-01-17
7gOdHgIoIKoe4i9Tta6qdD,Jonas Brothers,2VEsmoek0sol9MnJFyoG9e,Burnin' Up,175093,69,0.667,0.954,-3.462,0.0817,0.0296,0.0,0.331,0.807,114.03,4jcRw4qVurxoZcfIYPKDpz,A Little Bit Longer,2008-08-12
7gOdHgIoIKoe4i9Tta6qdD,Jonas Brothers,66VuIGcM7fd8NLMoORCqVJ,Strong Enough (feat. Bailey Zimmerman),149284,66,0.765,0.814,-5.145,0.0626,0.191,0.0,0.0485,0.557,126.068,7DTTXmNJFIXdf5QyA0Y9JX,Strong Enough,2023-11-10
7gOdHgIoIKoe4i9Tta6qdD,Jonas Brothers,7BbyWKteSctTKe696qf7fw,Year 3000,201813,59,0.622,0.919,-4.088,0.0651,0.0163,6.87e-06,0.523,0.81,107.06,3tnBL4yVKSTaUtjeypEwCe,It's About Time,2006-08-08
7gOdHgIoIKoe4i9Tta6qdD,Jonas Brothers,3FyfTh70PkgooRDe4SNP0U,Summer Baby,161811,64,0.84,0.721,-5.627,0.0387,0.0581,3.42e-06,0.0703,0.971,116.011,7aq7a226T631f2w1Vs1vXx,The Album,2023-05-12
6JL8zeS1NmiOftqZTRgdTz,Meghan Trainor,0QHEIqNKsMoOY5urbzN48u,Made You Look,134256,82,0.834,0.522,-3.574,0.0703,0.34,1.59e-06,0.0783,0.854,145.035,4LVa9bljQRvLYpWr8qyaXs,Takin' It Back,2022-10-21
6JL8zeS1NmiOftqZTRgdTz,Meghan Trainor,3t7MOVjzXyqT7vPw4eNrAV,Been Like This,145765,79,0.709,0.712,-4.671,0.0755,0.235,0.0,0.314,0.783,120.004,6z4pHWfbnVhZSu8uwKTTic,Been Like This,2024-03-14
6JL8zeS1NmiOftqZTRgdTz,Meghan Trainor,2YlZnw2ikdb837oKMKjBkW,Like I'm Gonna Lose You (feat. John Legend),225053,77,0.63,0.53,-7.259,0.0434,0.4,0.0,0.177,0.417,108.038,5W98Ab4VvQEuFEE4TIe5fE,Title (Deluxe),2015-01-09
6JL8zeS1NmiOftqZTRgdTz,Meghan Trainor,5jE48hhRu8E6zBDPRSkEq7,All About That Bass,187920,75,0.807,0.887,-3.726,0.0503,0.0573,2.87e-06,0.124,0.961,134.052,5W98Ab4VvQEuFEE4TIe5fE,Title (Deluxe),2015-01-09
6JL8zeS1NmiOftqZTRgdTz,Meghan Trainor,3cU2wBxuV6nFiuf6PJZNlC,Dear Future Husband,184226,76,0.655,0.782,-4.789,0.185,0.375,0.0,0.317,0.832,79.427,5W98Ab4VvQEuFEE4TIe5fE,Title (Deluxe),2015-01-09
6JL8zeS1NmiOftqZTRgdTz,Meghan Trainor,0l0CvurVUrr2w3Jj1hOVFc,NO,213506,75,0.557,0.803,-3.599,0.213,0.0124,1.61e-06,0.737,0.657,92.134,08eweM0IZoZPCCxODbrMoL,Thank You (Deluxe Version),2017-05-12
